trade_index,entry_timestamp,window,mae_threshold,mae_crossing_bar,recovered_BE,recovered_0_5R,recovered_1R,recovered_target,recovery_bar_BE,recovery_bar_0_5R,recovery_bar_1R,recovery_bar_target,future_max_favorable_close_R,future_max_adverse_close_R,final_R,outcome,exit_reason
1,2021-05-10 13:55:00-04:00,1,0.5,2,True,True,False,False,3.0,3.0,,,0.69,2.03,1.7056,WIN,target
2,2021-05-17 13:31:00-04:00,1,0.5,4,True,True,False,False,5.0,5.0,,,0.75,0.68,0.1656,WIN,timeout
3,2021-07-08 14:32:00-04:00,1,0.5,2,True,True,False,False,3.0,3.0,,,0.71,0.4,0.0556,WIN,timeout
4,2021-07-16 10:11:00-04:00,1,0.5,2,True,True,False,False,3.0,7.0,,,0.63,1.51,0.2156,WIN,timeout
5,2021-07-16 11:14:00-04:00,1,0.5,4,True,True,False,False,5.0,6.0,,,0.74,0.29,-0.5444,LOSS,timeout
6,2021-07-30 10:33:00-04:00,1,0.5,3,True,True,True,False,4.0,7.0,9.0,,1.13,-0.19,-1.0444,LOSS,stop
7,2021-08-02 12:07:00-04:00,1,0.5,6,True,True,True,False,7.0,7.0,16.0,,1.03,-0.52,-1.0444,LOSS,stop
8,2021-09-22 09:36:00-04:00,2,0.5,1,True,True,True,False,2.0,12.0,17.0,,1.7,0.2,-1.0444,LOSS,stop
9,2021-11-08 10:42:00-05:00,3,0.5,2,True,True,True,False,3.0,3.0,4.0,,1.64,-0.77,-1.0444,LOSS,stop
10,2021-11-10 11:42:00-05:00,3,0.5,4,True,True,True,False,5.0,5.0,10.0,,1.35,-0.58,-1.0444,LOSS,stop
11,2021-11-15 10:32:00-05:00,3,0.5,3,True,True,False,False,4.0,18.0,,,0.79,0.52,-0.8344,LOSS,timeout
12,2021-11-17 16:07:00-05:00,3,0.5,6,True,True,True,False,7.0,7.0,13.0,,1.07,-0.46,-1.0444,LOSS,stop
13,2021-11-18 12:57:00-05:00,3,0.5,7,True,True,True,False,8.0,8.0,13.0,,1.21,-0.67,-1.0444,LOSS,stop
14,2021-12-09 14:56:00-05:00,3,0.5,2,True,True,True,False,3.0,4.0,5.0,,1.5,1.41,-1.0444,LOSS,stop
15,2021-12-13 15:27:00-05:00,3,0.5,6,True,True,True,False,7.0,8.0,9.0,,1.2,0.24,-1.0444,LOSS,stop
16,2021-12-16 09:31:00-05:00,3,0.5,1,True,True,False,False,3.0,3.0,,,0.66,2.9,-1.0444,LOSS,stop
17,2021-12-16 14:24:00-05:00,3,0.5,1,True,True,True,True,2.0,2.0,4.0,14.0,2.14,-0.27,-1.0444,LOSS,stop
18,2021-12-31 10:51:00-05:00,3,0.5,2,True,True,True,False,3.0,3.0,3.0,,1.27,0.01,-1.0444,LOSS,stop
19,2022-01-03 11:37:00-05:00,3,0.5,4,True,True,True,False,5.0,5.0,10.0,,1.61,-0.34,-1.0444,LOSS,stop
20,2022-01-05 12:09:00-05:00,3,0.5,7,True,True,False,False,8.0,9.0,,,0.72,-0.31,-0.4244,LOSS,timeout
21,2022-01-07 13:50:00-05:00,3,0.5,2,True,True,False,False,3.0,3.0,,,0.65,0.63,-0.3944,LOSS,timeout
22,2022-01-12 14:03:00-05:00,3,0.5,1,True,True,True,True,2.0,4.0,9.0,19.0,1.96,-0.27,-1.0444,LOSS,stop
23,2022-04-22 12:02:00-04:00,4,0.5,3,True,True,False,False,4.0,4.0,,,0.51,0.93,0.0456,WIN,timeout
24,2022-05-26 09:30:00-04:00,5,0.5,1,True,True,True,True,2.0,2.0,3.0,4.0,6.52,-0.99,-1.0444,LOSS,stop
25,2022-06-09 13:45:00-04:00,5,0.5,3,True,True,True,False,4.0,6.0,14.0,,1.19,-0.08,-1.0444,LOSS,stop
26,2022-06-29 15:01:00-04:00,5,0.5,5,True,True,True,False,6.0,6.0,7.0,,1.6,-0.58,-1.0444,LOSS,stop
27,2022-07-22 14:25:00-04:00,5,0.5,1,True,True,False,False,2.0,3.0,,,0.95,0.03,-1.0444,LOSS,stop
28,2022-07-28 12:20:00-04:00,5,0.5,2,True,True,True,False,3.0,3.0,4.0,,1.51,-0.78,-1.0444,LOSS,stop
29,2022-07-29 09:30:00-04:00,5,0.5,1,True,True,True,True,9.0,10.0,10.0,11.0,2.92,1.76,-1.0444,LOSS,stop
30,2022-08-04 09:30:00-04:00,5,0.5,2,True,True,True,True,3.0,4.0,5.0,13.0,2.71,0.38,-1.0444,LOSS,stop
31,2022-08-10 12:26:00-04:00,6,0.5,3,True,True,True,False,4.0,4.0,14.0,,1.04,-0.41,-1.0444,LOSS,stop
32,2022-08-17 11:52:00-04:00,6,0.5,2,True,True,True,False,3.0,3.0,11.0,,1.63,-0.53,-1.0444,LOSS,stop
33,2022-08-18 15:55:00-04:00,6,0.5,4,True,True,False,False,5.0,6.0,,,0.76,-0.32,-0.6644,LOSS,timeout
34,2022-08-22 15:46:00-04:00,6,0.5,3,True,True,True,True,4.0,4.0,4.0,20.0,1.81,-0.84,-1.0444,LOSS,stop
35,2022-08-23 12:20:00-04:00,6,0.5,4,True,True,True,True,5.0,6.0,15.0,17.0,1.81,0.0,-1.0444,LOSS,stop
36,2022-08-26 15:12:00-04:00,6,0.5,3,True,True,False,False,4.0,5.0,,,0.94,0.35,-1.0444,LOSS,stop
37,2022-08-26 15:47:00-04:00,6,0.5,3,True,False,False,False,4.0,,,,0.46,1.43,1.2056,WIN,timeout
38,2022-09-09 12:05:00-04:00,6,0.5,4,True,True,False,False,5.0,7.0,,,0.77,0.55,0.5056,WIN,timeout
39,2022-09-09 14:53:00-04:00,6,0.5,3,True,True,True,False,4.0,4.0,9.0,,1.52,-0.55,-1.0444,LOSS,stop
40,2022-09-15 09:30:00-04:00,6,0.5,4,True,True,True,True,5.0,10.0,10.0,12.0,2.92,0.53,-1.0444,LOSS,stop
41,2022-09-23 13:40:00-04:00,6,0.5,7,True,True,False,False,8.0,8.0,,,0.87,-0.35,-0.5144,LOSS,timeout
42,2022-09-29 13:23:00-04:00,6,0.5,4,True,True,False,False,5.0,9.0,,,0.97,0.1,-1.0444,LOSS,stop
43,2022-10-06 14:16:00-04:00,6,0.5,5,True,True,False,False,6.0,6.0,,,0.98,-0.01,-1.0444,LOSS,stop
44,2022-10-07 13:09:00-04:00,6,0.5,2,True,True,True,False,3.0,3.0,5.0,,1.63,-0.59,-1.0444,LOSS,stop
45,2022-10-07 14:32:00-04:00,6,0.5,2,True,True,False,False,3.0,3.0,,,0.94,-0.12,-1.0444,LOSS,stop
46,2022-10-17 15:11:00-04:00,6,0.5,2,True,True,True,False,3.0,3.0,13.0,,1.25,-0.29,-1.0444,LOSS,stop
47,2022-10-24 09:30:00-04:00,6,0.5,5,True,True,True,True,6.0,7.0,7.0,15.0,2.38,1.55,1.7056,WIN,target
48,2023-03-28 10:41:00-04:00,8,0.5,1,True,True,False,False,2.0,6.0,,,0.75,-0.11,-0.7944,LOSS,timeout
49,2023-05-08 14:07:00-04:00,9,0.5,5,True,True,True,True,6.0,6.0,9.0,14.0,1.79,-0.71,-1.0444,LOSS,stop
50,2023-05-23 14:23:00-04:00,9,0.5,6,True,True,False,False,7.0,8.0,,,0.71,0.21,-0.2543999999999999,LOSS,timeout
51,2023-05-30 13:30:00-04:00,9,0.5,2,True,True,False,False,3.0,3.0,,,0.81,0.08,-0.7243999999999999,LOSS,timeout
52,2023-06-01 15:38:00-04:00,9,0.5,6,True,True,True,False,7.0,7.0,11.0,,1.16,-0.6,-1.0444,LOSS,stop
53,2023-06-07 12:25:00-04:00,9,0.5,5,True,True,True,False,6.0,6.0,9.0,,1.49,-0.4,-1.0444,LOSS,stop
54,2023-06-21 15:58:00-04:00,9,0.5,2,True,True,False,False,3.0,3.0,,,0.6,-0.03,-0.0744,LOSS,timeout
55,2023-06-22 13:04:00-04:00,9,0.5,2,True,True,True,False,3.0,3.0,6.0,,1.25,-0.46,-1.0444,LOSS,stop
56,2023-06-23 14:45:00-04:00,9,0.5,1,True,True,False,False,2.0,3.0,,,0.64,0.61,-0.2143999999999999,LOSS,timeout
57,2023-06-26 11:19:00-04:00,9,0.5,3,True,True,True,False,4.0,4.0,13.0,,1.51,-0.04,-1.0444,LOSS,stop
58,2023-06-26 15:57:00-04:00,9,0.5,1,True,True,True,False,2.0,3.0,16.0,,1.2,-0.04,-1.0444,LOSS,stop
59,2023-06-28 11:25:00-04:00,9,0.5,2,True,True,True,True,3.0,3.0,6.0,10.0,2.41,-0.56,-1.0444,LOSS,stop
60,2023-06-28 15:05:00-04:00,9,0.5,4,True,True,True,True,5.0,5.0,6.0,14.0,2.03,-0.73,-1.0444,LOSS,stop
61,2023-07-18 09:37:00-04:00,9,0.5,1,True,True,False,False,2.0,3.0,,,0.98,0.54,-1.0444,LOSS,stop
62,2023-07-19 12:25:00-04:00,9,0.5,2,True,True,False,False,3.0,9.0,,,0.59,0.77,-0.1244,LOSS,timeout
63,2023-07-20 10:05:00-04:00,9,0.5,7,True,False,False,False,8.0,,,,0.29,2.1,1.7056,WIN,target
64,2023-07-20 12:34:00-04:00,9,0.5,2,True,True,False,False,3.0,6.0,,,0.94,-0.07,-1.0444,LOSS,stop
65,2023-07-27 13:06:00-04:00,9,0.5,3,True,True,False,False,4.0,4.0,,,0.7,1.89,1.7056,WIN,target
66,2023-07-28 13:47:00-04:00,9,0.5,3,True,True,True,True,4.0,4.0,5.0,9.0,2.69,-0.84,-1.0444,LOSS,stop
67,2023-08-02 09:36:00-04:00,9,0.5,7,True,True,False,False,8.0,13.0,,,0.53,0.68,-1.0444,LOSS,stop
68,2023-08-09 15:55:00-04:00,10,0.5,1,True,True,True,False,2.0,5.0,17.0,,1.37,-0.05,-1.0444,LOSS,stop
69,2023-08-15 10:24:00-04:00,10,0.5,3,True,True,False,False,4.0,4.0,,,0.87,0.31,-0.7044,LOSS,timeout
70,2023-08-17 14:56:00-04:00,10,0.5,1,True,True,False,False,2.0,4.0,,,0.69,1.82,1.7056,WIN,target
71,2023-08-24 15:55:00-04:00,10,0.5,1,True,True,False,False,2.0,2.0,,,0.84,0.85,-1.0444,LOSS,stop
72,2023-09-20 09:31:00-04:00,10,0.5,1,True,True,True,True,2.0,2.0,6.0,10.0,2.07,-0.51,-1.0444,LOSS,stop
73,2023-09-22 09:40:00-04:00,10,0.5,2,True,True,True,True,3.0,3.0,5.0,6.0,2.36,-0.56,-1.0444,LOSS,stop
74,2023-09-29 11:53:00-04:00,10,0.5,1,True,True,True,False,2.0,2.0,3.0,,1.55,-0.19,-1.0444,LOSS,stop
75,2023-10-18 12:38:00-04:00,10,0.5,5,True,False,False,False,6.0,,,,0.34,0.68,0.2956,WIN,timeout
76,2023-10-18 15:47:00-04:00,10,0.5,3,True,True,True,True,4.0,4.0,4.0,11.0,3.33,-0.79,-1.0444,LOSS,stop
77,2023-10-26 11:43:00-04:00,10,0.5,2,True,True,True,True,3.0,3.0,3.0,13.0,2.05,-0.68,-1.0444,LOSS,stop
78,2023-10-30 12:43:00-04:00,10,0.5,7,True,True,False,False,8.0,8.0,,,0.54,0.22,-0.4044,LOSS,timeout
79,2023-10-31 11:30:00-04:00,10,0.5,2,True,True,True,False,3.0,3.0,4.0,,1.22,0.21,-1.0444,LOSS,stop
80,2023-11-09 10:31:00-05:00,11,0.5,1,True,True,True,False,2.0,7.0,13.0,,1.34,-0.04,-1.0444,LOSS,stop
81,2023-11-09 14:05:00-05:00,11,0.5,3,True,True,False,False,4.0,4.0,,,0.91,0.78,-1.0444,LOSS,stop
82,2023-12-05 11:29:00-05:00,11,0.5,1,True,True,False,False,2.0,3.0,,,0.86,-0.04,-1.0444,LOSS,stop
83,2023-12-05 12:46:00-05:00,11,0.5,1,True,True,True,False,2.0,2.0,3.0,,1.67,-0.75,-1.0444,LOSS,stop
84,2023-12-06 09:47:00-05:00,11,0.5,4,True,True,False,False,5.0,5.0,,,0.74,1.21,0.5356000000000001,WIN,timeout
85,2023-12-13 15:26:00-05:00,11,0.5,1,True,True,True,True,2.0,2.0,2.0,6.0,2.85,-1.11,-1.0444,LOSS,stop
86,2023-12-15 14:00:00-05:00,11,0.5,3,True,True,True,False,4.0,4.0,12.0,,1.46,-0.24,-1.0444,LOSS,stop
87,2023-12-21 10:08:00-05:00,11,0.5,2,True,True,True,True,3.0,5.0,5.0,10.0,2.96,-0.12,-1.0444,LOSS,stop
88,2023-12-21 12:09:00-05:00,11,0.5,2,True,True,False,False,3.0,6.0,,,0.69,-0.01,-0.3044,LOSS,timeout
89,2024-01-11 11:39:00-05:00,11,0.5,1,True,True,True,False,2.0,8.0,10.0,,1.1,0.82,-1.0444,LOSS,stop
90,2024-01-24 11:14:00-05:00,11,0.5,4,True,True,False,False,5.0,5.0,,,0.88,-0.32,-1.0444,LOSS,stop
91,2024-01-24 14:28:00-05:00,11,0.5,2,True,True,True,True,3.0,8.0,12.0,20.0,1.76,-0.07,-1.0444,LOSS,stop
92,2024-01-24 16:08:00-05:00,11,0.5,2,True,True,False,False,3.0,3.0,,,0.71,-0.27,-0.6844,LOSS,timeout
93,2024-01-31 10:37:00-05:00,11,0.5,2,True,True,False,False,3.0,5.0,,,0.86,-0.18,-0.3143999999999999,LOSS,timeout
94,2024-02-01 11:17:00-05:00,11,0.5,5,True,True,True,False,6.0,6.0,16.0,,1.28,0.02,-1.0444,LOSS,stop
95,2024-02-06 10:10:00-05:00,12,0.5,1,True,True,True,False,2.0,3.0,5.0,,1.63,0.46,-1.0444,LOSS,stop
96,2024-02-06 10:25:00-05:00,12,0.5,1,True,True,True,True,2.0,2.0,5.0,10.0,2.2,-0.8,-1.0444,LOSS,stop
97,2024-02-12 14:19:00-05:00,12,0.5,2,True,True,True,False,3.0,3.0,3.0,,1.36,-0.89,-1.0444,LOSS,stop
98,2024-02-27 09:41:00-05:00,12,0.5,1,True,True,True,True,2.0,4.0,8.0,18.0,2.61,-0.05,-1.0444,LOSS,stop
99,2024-03-05 09:36:00-05:00,12,0.5,2,True,True,False,False,3.0,3.0,,,0.83,1.28,0.9956,WIN,timeout
100,2024-03-13 10:01:00-04:00,12,0.5,1,True,True,True,True,2.0,3.0,5.0,11.0,1.84,-0.42,-1.0444,LOSS,stop
101,2024-03-15 09:31:00-04:00,12,0.5,1,True,False,False,False,2.0,,,,0.41,2.43,1.7056,WIN,target
102,2024-03-26 15:56:00-04:00,12,0.5,3,True,True,True,False,4.0,4.0,4.0,,1.31,-0.79,-1.0444,LOSS,stop
103,2024-04-01 10:39:00-04:00,12,0.5,2,True,True,False,False,3.0,3.0,,,0.64,0.63,0.2056,WIN,timeout
104,2024-04-02 09:40:00-04:00,12,0.5,4,True,True,True,False,5.0,6.0,19.0,,1.0,-0.21,-1.0444,LOSS,stop
105,2024-04-08 09:38:00-04:00,12,0.5,4,True,True,True,False,5.0,5.0,10.0,,1.56,-0.29,-1.0444,LOSS,stop
106,2024-04-15 15:04:00-04:00,12,0.5,5,True,True,False,False,6.0,19.0,,,0.88,0.75,-1.0444,LOSS,stop
107,2024-04-17 12:23:00-04:00,12,0.5,2,True,False,False,False,3.0,,,,0.47,1.46,1.4156,WIN,timeout
108,2024-04-17 12:46:00-04:00,12,0.5,1,True,True,True,True,2.0,2.0,3.0,17.0,2.49,-0.64,-1.0444,LOSS,stop
109,2024-04-19 12:07:00-04:00,12,0.5,1,True,False,False,False,2.0,,,,0.42,1.51,1.3256,WIN,timeout
110,2024-04-25 09:31:00-04:00,12,0.5,4,True,True,True,True,6.0,9.0,11.0,12.0,2.13,0.23,-1.0444,LOSS,stop
111,2024-04-26 09:31:00-04:00,12,0.5,2,True,True,True,True,3.0,3.0,3.0,3.0,4.12,-1.4,-1.0444,LOSS,stop
112,2024-04-29 09:43:00-04:00,12,0.5,2,True,True,True,True,3.0,3.0,4.0,17.0,1.84,0.05,-1.0444,LOSS,stop
113,2024-05-01 11:18:00-04:00,12,0.5,3,True,True,True,True,4.0,4.0,8.0,16.0,1.76,-0.87,-1.0444,LOSS,stop
114,2024-07-11 11:03:00-04:00,13,0.5,4,True,True,True,True,5.0,5.0,5.0,6.0,2.07,1.46,-1.0444,LOSS,stop
115,2024-08-20 13:00:00-04:00,14,0.5,1,True,True,True,False,2.0,4.0,7.0,,1.34,-0.15,-1.0444,LOSS,stop
116,2024-08-27 11:33:00-04:00,14,0.5,2,True,True,False,False,3.0,3.0,,,0.82,0.17,0.1256,WIN,timeout
117,2024-09-18 11:47:00-04:00,14,0.5,1,True,True,False,False,2.0,3.0,,,0.92,0.02,-1.0444,LOSS,stop
118,2024-09-19 14:16:00-04:00,14,0.5,4,True,True,False,False,5.0,6.0,,,0.93,-0.28,-1.0444,LOSS,stop
119,2024-09-23 09:32:00-04:00,14,0.5,1,True,True,True,True,2.0,5.0,16.0,17.0,2.34,0.25,-1.0444,LOSS,stop
120,2024-09-27 09:36:00-04:00,14,0.5,1,True,True,True,False,2.0,2.0,13.0,,1.55,-0.21,-1.0444,LOSS,stop
121,2024-10-02 12:59:00-04:00,14,0.5,1,True,True,False,False,2.0,2.0,,,0.92,0.14,-1.0444,LOSS,stop
122,2024-10-03 12:52:00-04:00,14,0.5,5,False,False,False,False,,,,,-0.01,1.5,1.7056,WIN,target
123,2024-10-08 13:08:00-04:00,14,0.5,4,True,True,True,False,5.0,6.0,6.0,,1.08,-0.05,-1.0444,LOSS,stop
124,2024-10-11 09:39:00-04:00,14,0.5,1,True,True,True,True,2.0,2.0,4.0,12.0,1.83,-0.53,-1.0444,LOSS,stop
125,2024-10-15 15:05:00-04:00,14,0.5,3,True,True,True,False,4.0,16.0,18.0,,1.11,0.65,-1.0444,LOSS,stop
126,2024-10-17 12:33:00-04:00,14,0.5,2,True,True,True,False,3.0,3.0,5.0,,1.58,-0.82,-1.0444,LOSS,stop
127,2024-10-23 13:40:00-04:00,14,0.5,6,True,True,False,False,7.0,7.0,,,0.58,1.14,1.0356,WIN,timeout
128,2024-10-24 09:31:00-04:00,14,0.5,1,True,True,True,False,2.0,2.0,4.0,,1.37,0.51,-1.0444,LOSS,stop
129,2024-10-24 11:47:00-04:00,14,0.5,7,True,True,True,False,8.0,8.0,10.0,,1.62,0.34,-1.0444,LOSS,stop
130,2024-10-25 13:21:00-04:00,14,0.5,1,True,True,True,False,2.0,2.0,3.0,,1.01,1.49,-1.0444,LOSS,stop
131,2024-10-28 09:30:00-04:00,14,0.5,2,True,False,False,False,3.0,,,,0.26,1.72,1.7056,WIN,target
132,2024-10-30 13:39:00-04:00,14,0.5,3,True,True,True,False,4.0,4.0,8.0,,1.52,-0.28,-1.0444,LOSS,stop
133,2024-11-01 15:50:00-04:00,14,0.5,4,True,True,True,False,5.0,5.0,5.0,,1.67,-0.5,-1.0444,LOSS,stop
134,2024-11-05 13:37:00-05:00,14,0.5,2,True,True,True,False,3.0,4.0,5.0,,1.16,-0.25,-1.0444,LOSS,stop
135,2024-12-20 16:30:00-05:00,15,0.5,2,True,True,False,False,3.0,3.0,,,0.96,-0.43,-1.0444,LOSS,stop
136,2025-01-07 15:33:00-05:00,15,0.5,7,True,True,True,False,8.0,8.0,8.0,,1.73,0.26,-1.0444,LOSS,stop
137,2025-01-27 12:57:00-05:00,15,0.5,4,True,True,True,False,5.0,5.0,6.0,,1.56,-0.58,-1.0444,LOSS,stop
138,2025-02-21 14:07:00-05:00,16,0.5,6,True,True,False,False,7.0,7.0,,,0.69,2.43,-1.0444,LOSS,stop
139,2025-03-26 14:58:00-04:00,16,0.5,2,True,True,False,False,3.0,4.0,,,0.77,0.48,-0.8144,LOSS,timeout
140,2025-09-03 12:51:00-04:00,18,0.5,4,True,True,True,True,5.0,5.0,10.0,20.0,2.22,-0.55,-1.0444,LOSS,stop
141,2025-09-05 09:37:00-04:00,18,0.5,2,True,True,True,True,3.0,4.0,4.0,7.0,2.57,0.02,-1.0444,LOSS,stop
142,2025-09-09 10:39:00-04:00,18,0.5,1,True,True,True,True,2.0,6.0,13.0,15.0,2.04,0.49,-1.0444,LOSS,stop
143,2025-09-23 09:59:00-04:00,18,0.5,6,True,True,False,False,7.0,7.0,,,0.72,-0.16,-0.7644,LOSS,timeout
144,2025-10-21 16:09:00-04:00,18,0.5,6,True,True,False,False,7.0,7.0,,,0.91,-0.47,-0.8344,LOSS,timeout
145,2025-10-30 11:42:00-04:00,18,0.5,2,True,True,False,False,3.0,3.0,,,0.89,0.41,-1.0444,LOSS,stop
146,2025-10-31 13:16:00-04:00,18,0.5,1,True,True,True,False,2.0,10.0,14.0,,1.73,0.36,-1.0444,LOSS,stop
147,2025-11-04 14:43:00-05:00,18,0.5,2,True,True,False,False,3.0,12.0,,,0.9,0.15,-1.0444,LOSS,stop
148,2025-11-05 16:15:00-05:00,18,0.5,2,True,True,False,False,3.0,3.0,,,0.94,-0.4,-1.0444,LOSS,stop
149,2025-12-04 14:22:00-05:00,19,0.5,2,True,True,True,True,3.0,3.0,4.0,5.0,4.28,-0.96,-1.0444,LOSS,stop
150,2026-01-08 09:36:00-05:00,19,0.5,1,False,False,False,False,,,,,-0.49,3.49,1.7056,WIN,target
151,2026-02-11 13:12:00-05:00,20,0.5,4,True,True,True,True,5.0,5.0,5.0,15.0,2.46,-0.5,-1.0444,LOSS,stop
152,2026-02-12 15:31:00-05:00,20,0.5,2,True,True,True,False,3.0,4.0,9.0,,1.21,2.81,-1.0444,LOSS,stop
153,2026-02-16 11:38:00-05:00,20,0.5,4,True,True,True,True,5.0,6.0,8.0,12.0,1.89,-0.41,-1.0444,LOSS,stop
154,2026-02-17 15:38:00-05:00,20,0.5,2,True,True,True,True,3.0,3.0,3.0,5.0,1.79,-0.32,-1.0444,LOSS,stop
155,2026-02-18 13:51:00-05:00,20,0.5,3,True,True,False,False,4.0,4.0,,,0.73,-0.01,-0.5144,LOSS,timeout
156,2026-02-18 14:37:00-05:00,20,0.5,4,True,True,False,False,8.0,10.0,,,0.77,2.48,1.7056,WIN,target
157,2026-02-23 12:36:00-05:00,20,0.5,6,True,True,True,True,7.0,7.0,16.0,19.0,1.99,0.08,-1.0444,LOSS,stop
158,2026-02-27 13:05:00-05:00,20,0.5,1,True,True,False,False,2.0,2.0,,,0.92,1.6,1.5556,WIN,timeout
159,2026-02-27 13:26:00-05:00,20,0.5,2,True,True,True,False,3.0,3.0,3.0,,1.62,-0.46,-1.0444,LOSS,stop
160,2026-03-02 13:47:00-05:00,20,0.5,1,True,True,False,False,2.0,2.0,,,0.59,0.6,-0.5744,LOSS,timeout
161,2026-03-12 15:02:00-04:00,20,0.5,2,True,True,True,False,3.0,3.0,4.0,,1.65,0.28,-1.0444,LOSS,stop
162,2026-03-16 12:01:00-04:00,20,0.5,3,True,True,False,False,5.0,6.0,,,0.91,1.38,-1.0444,LOSS,stop
163,2026-03-16 13:50:00-04:00,20,0.5,1,True,True,True,True,2.0,2.0,6.0,15.0,2.53,-0.71,-1.0444,LOSS,stop
164,2026-03-17 11:13:00-04:00,20,0.5,2,True,True,True,False,3.0,3.0,3.0,,1.16,0.85,-1.0444,LOSS,stop
165,2026-03-20 13:36:00-04:00,20,0.5,3,True,True,True,False,4.0,4.0,4.0,,1.68,0.1,-1.0444,LOSS,stop
166,2026-03-26 13:24:00-04:00,20,0.5,5,True,True,True,False,6.0,6.0,10.0,,1.14,0.82,-1.0444,LOSS,stop
167,2026-03-26 15:25:00-04:00,20,0.5,4,True,True,False,False,5.0,5.0,,,0.77,0.66,0.6156,WIN,timeout
168,2026-03-26 15:54:00-04:00,20,0.5,1,True,True,True,True,2.0,2.0,17.0,17.0,8.74,0.53,-1.0444,LOSS,stop
169,2026-03-27 12:37:00-04:00,20,0.5,4,True,True,True,True,5.0,6.0,9.0,11.0,1.99,-0.25,-1.0444,LOSS,stop
170,2026-03-27 15:46:00-04:00,20,0.5,1,True,True,True,True,2.0,2.0,7.0,9.0,2.08,0.18,-1.0444,LOSS,stop
171,2026-04-01 14:25:00-04:00,20,0.5,1,True,True,True,False,2.0,15.0,15.0,,1.45,1.18,-1.0444,LOSS,stop
172,2026-04-06 13:06:00-04:00,20,0.5,2,True,True,True,False,3.0,3.0,18.0,,1.28,2.26,-1.0444,LOSS,stop
173,2026-04-07 13:20:00-04:00,20,0.5,3,True,True,True,True,4.0,6.0,12.0,14.0,4.15,-0.25,-1.0444,LOSS,stop
174,2026-04-09 14:04:00-04:00,20,0.5,1,True,True,False,False,2.0,2.0,,,0.78,0.46,-1.0444,LOSS,stop
175,2026-04-15 12:48:00-04:00,20,0.5,1,True,True,True,False,2.0,2.0,18.0,,1.39,0.89,-1.0444,LOSS,stop
176,2026-04-16 14:25:00-04:00,20,0.5,6,True,True,True,True,7.0,7.0,7.0,11.0,2.55,-1.15,-1.0444,LOSS,stop
177,2026-04-21 11:02:00-04:00,20,0.5,5,True,True,True,True,6.0,6.0,6.0,7.0,3.54,-1.4,-1.0444,LOSS,stop
178,2026-04-21 12:44:00-04:00,20,0.5,1,True,True,True,False,2.0,2.0,4.0,,1.31,0.42,-1.0444,LOSS,stop
179,2026-04-21 13:05:00-04:00,20,0.5,4,False,False,False,False,,,,,-0.41,2.2,1.7056,WIN,target
180,2026-04-23 12:04:00-04:00,20,0.5,2,True,True,True,False,3.0,8.0,8.0,,1.73,-0.09,-1.0444,LOSS,stop
181,2026-04-23 14:59:00-04:00,20,0.5,1,True,True,True,True,2.0,6.0,7.0,16.0,2.52,-0.01,-1.0444,LOSS,stop
182,2026-04-29 11:12:00-04:00,20,0.5,4,True,True,True,True,5.0,5.0,8.0,18.0,2.17,-0.57,-1.0444,LOSS,stop
183,2026-05-05 12:40:00-04:00,20,0.5,2,True,True,True,False,3.0,4.0,7.0,,1.52,-0.27,-1.0444,LOSS,stop
184,2026-05-27 09:30:00-04:00,21,0.5,1,True,False,False,False,2.0,,,,0.24,7.79,-1.0444,LOSS,stop
185,2026-08-06 15:50:00-04:00,22,0.5,3,True,True,True,True,4.0,4.0,4.0,4.0,2.77,-0.63,-1.0444,LOSS,stop
186,2026-08-10 12:44:00-04:00,22,0.5,2,True,True,True,False,3.0,3.0,12.0,,1.55,-0.08,-1.0444,LOSS,stop
187,2026-08-13 11:04:00-04:00,22,0.5,1,True,True,True,False,2.0,2.0,7.0,,1.48,-0.23,-1.0444,LOSS,stop
188,2026-08-13 11:36:00-04:00,22,0.5,5,True,True,True,False,6.0,6.0,6.0,,1.37,1.0,-1.0444,LOSS,stop
189,2026-08-14 10:30:00-04:00,22,0.5,1,True,True,True,False,2.0,5.0,6.0,,1.46,-0.14,-1.0444,LOSS,stop
190,2026-08-14 11:48:00-04:00,22,0.5,4,True,True,True,True,5.0,5.0,9.0,12.0,1.94,-0.81,-1.0444,LOSS,stop
191,2026-08-18 11:08:00-04:00,22,0.5,7,True,True,True,True,8.0,8.0,14.0,20.0,2.0,0.27,-1.0444,LOSS,stop
192,2026-08-19 15:50:00-04:00,22,0.5,4,True,True,True,True,6.0,7.0,9.0,10.0,1.82,0.22,-1.0444,LOSS,stop
193,2026-08-19 15:55:00-04:00,22,0.5,1,True,True,True,True,2.0,2.0,3.0,5.0,2.04,-0.94,-1.0444,LOSS,stop
194,2026-08-24 16:00:00-04:00,22,0.5,4,True,True,False,False,5.0,5.0,,,0.88,-0.05,-1.0444,LOSS,stop
0,2021-05-07 14:01:00-04:00,1,0.6,2,True,True,True,False,3.0,3.0,7.0,,1.24,-0.54,-1.0444,LOSS,stop
1,2021-05-10 13:55:00-04:00,1,0.6,2,True,True,False,False,3.0,3.0,,,0.69,2.03,1.7056,WIN,target
2,2021-05-17 13:31:00-04:00,1,0.6,5,True,False,False,False,6.0,,,,0.41,0.68,0.1656,WIN,timeout
3,2021-07-08 14:32:00-04:00,1,0.6,2,True,True,False,False,3.0,3.0,,,0.71,0.4,0.0556,WIN,timeout
